Sample,Transect.ID,Individual ID,Year,Site,VisitNumber,Lat,Long,Collected,Transect,NetorPan,DateCollected,Type,SpeciesCode,GenusCode,Sex,RNA conc.,Virus_Type,Virus,Richness,EstRich_Asyp,EstRich_46,EstRich_183,EstRich_338,Abundance,Diversity,APME_ABUND,BOIM_ABUND,LASI_ABUND,PEPR_ABUND
1322,BC15C3,BC15C3N-68,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,APIS,APME,APIS,F,196,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
599,BC15B2,BC15B2N-10,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,NON,PEPR,PEPO,F,too high,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
614,BC15C2,BC15C2N-25,2015,BC,1,42.35073,-83.8556,squash,C,Net,7/24/2015,NON,PEPR,PEPO,F,109,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
674,BC15B2,BC15B2P-85,2015,BC,1,42.35073,-83.8556,squash,B,Pan,7/24/2015,NON,LASI,LASI,F,90.1,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
716,BC15C2,BC15C2P-127,2015,BC,1,42.35073,-83.8556,squash,C,Pan,7/24/2015,NON,LASI,LASI,F,21.8,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1259,BC15A3,BC15A3N-5,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,PEPR,PEPO,F,487,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1302,BC15C3,BC15C3N-48,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,PEPR,PEPO,F,295,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1398,BC15D3,BC15D3P-144,2015,BC,2,42.35073,-83.8556,flowers,D,Pan,8/2/2015,NON,LASI,LASI,F,75.7,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
604,BC15B2,BC15B2N-15,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,APIS,APME,APIS,F,198,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
622,BC15C2,BC15C2N-33,2015,BC,1,42.35073,-83.8556,squash,C,Net,7/24/2015,APIS,APME,APIS,F,33.2,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1324,BC15C3,BC15C3N-70,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,APIS,APME,APIS,F,396,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1360,BC15C3,BC15C3P-106,2015,BC,2,42.35073,-83.8556,squash,C,Pan,8/2/2015,APIS,APME,APIS,F,43.7,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
597,BC15B2,BC15B2N-8,2015,BC,1,42.35073,-83.8556,squash,B,Net,7/24/2015,NON,PEPR,PEPO,M,15.4,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
631,BC15A2,BC15A2P-42,2015,BC,1,42.35073,-83.8556,squash,A,Pan,7/24/2015,NON,LASI,LASI,F,23.4,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
632,BC15A2,BC15A2P-43,2015,BC,1,42.35073,-83.8556,squash,A,Pan,7/24/2015,NON,LASI,LASI,F,36,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
709,BC15C2,BC15C2P-120,2015,BC,1,42.35073,-83.8556,squash,C,Pan,7/24/2015,NON,LASI,LASI,F,48.1,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1258,BC15A3,BC15A3N-4,2015,BC,2,42.35073,-83.8556,squash,A,Net,8/2/2015,NON,PEPR,PEPO,M,25.3,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1303,BC15C3,BC15C3N-49,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,NON,PEPR,PEPO,M,21.2,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1331,BC15A3,BC15A3P-77,2015,BC,2,42.35073,-83.8556,squash,A,Pan,8/2/2015,NON,LASI,LASI,F,66.9,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1366,BC15C3,BC15C3P-112,2015,BC,2,42.35073,-83.8556,squash,C,Pan,8/2/2015,NON,LASI,LASI,F,84.9,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1376,BC15C3,BC15C3P-122,2015,BC,2,42.35073,-83.8556,squash,C,Pan,8/2/2015,NON,LASI,LASI,F,62.4,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1394,BC15D3,BC15D3P-140,2015,BC,2,42.35073,-83.8556,flowers,D,Pan,8/2/2015,NON,LASI,LASI,F,59.8,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
590,BC15A2,BC15A2N-1,2015,BC,1,42.35073,-83.8556,squash,A,Net,7/24/2015,APIS,APME,APIS,F,362,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
591,BC15A2,BC15A2N-2,2015,BC,1,42.35073,-83.8556,squash,A,Net,7/24/2015,APIS,APME,APIS,F,396,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1294,BC15B3,BC15B3N-40,2015,BC,2,42.35073,-83.8556,squash,B,Net,8/2/2015,APIS,APME,APIS,F,550,DWV,0,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
1319,BC15C3,BC15C3N-65,2015,BC,2,42.35073,-83.8556,squash,C,Net,8/2/2015,APIS,APME,APIS,F,492,DWV,1,8,8.997,5.448,7.056,7.988,340,0.518217993,57,13,227,24
